                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 1.7752,                 1.0928,                0.90029,                0.50467,                0.64407,                0.54859,                0.21334,                 2.0705,                 1.4706,                 1.0014,               0.001109,               0.001109,               0.001109
                    137,                 1.7473,                 1.0439,                0.88674,                 0.5178,                0.66102,                0.58916,                0.21152,                 2.1098,                 1.6267,                 1.0165,              0.0011024,              0.0011024,              0.0011024
                    138,                 1.7758,                 1.0191,                0.87983,                0.64045,                0.55932,                 0.5942,                0.19962,                  2.159,                 1.4997,                 1.0273,              0.0010958,              0.0010958,              0.0010958
                    139,                 1.7811,                 1.0449,                0.88849,                0.61835,                0.52542,                0.57144,                0.23028,                 2.1063,                 1.3277,                 1.0229,              0.0010892,              0.0010892,              0.0010892
                    140,                 1.7708,                 1.0452,                0.87991,                0.64251,                0.57882,                0.61482,                0.24735,                 2.1485,                 1.2384,                 1.0203,              0.0010826,              0.0010826,              0.0010826
                    141,                 1.8312,                 1.0763,                0.89274,                0.55025,                0.64407,                0.63554,                0.24711,                 2.1383,                 1.1649,                 1.0255,               0.001076,               0.001076,               0.001076
                    142,                  1.787,                 1.0917,                0.89832,                0.62222,                0.61017,                0.62422,                0.24074,                 2.1671,                  1.195,                 1.0375,              0.0010694,              0.0010694,              0.0010694
                    143,                  1.845,                 1.1015,                0.88227,                0.61631,                0.61017,                0.61934,                0.23673,                 2.1608,                 1.2709,                  1.038,              0.0010628,              0.0010628,              0.0010628
                    144,                  1.819,                 1.0797,                0.89023,                0.62946,                0.61017,                0.62222,                0.23498,                 2.1592,                 1.2483,                 1.0285,              0.0010562,              0.0010562,              0.0010562
                    145,                 1.7619,                 1.0625,                0.87861,                0.58986,                0.61017,                0.61897,                0.25146,                 2.1253,                 1.2633,                 1.0248,              0.0010496,              0.0010496,              0.0010496
